Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
183,L1_SingleEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,L1_SingleEG34er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,L1_SingleEG36er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
186,L1_SingleEG38er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
187,L1_SingleEG40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
188,L1_SingleEG42er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
189,L1_SingleEG45er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
190,L1_SingleEG50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,L1_SingleEG60,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
192,L1_SingleLooseIsoEG26er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,L1_SingleLooseIsoEG26er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,L1_SingleLooseIsoEG28er1p3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,L1_SingleLooseIsoEG28er1p3to2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,L1_SingleLooseIsoEG28er2p5to3p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,L1_SingleLooseIsoEG28_FWD2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,L1_SingleLooseIsoEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,L1_SingleLooseIsoEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,L1_SingleLooseIsoEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
